#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
5182454|2016-05-11 13:11:34|-30.6630|-71.7475|24.7|us|NEIC PDE|us|us10005gih|Mww|5.4|us|NEAR COAST OF CENTRAL CHILE
5184673|2016-06-06 13:21:59|-30.0690|-71.5238|29.5|us.gcmt|NEIC PDE|us|us200062by.gcmt20160606132158|Mww|5.4|us|NEAR COAST OF CENTRAL CHILE
10001366|2017-02-16 07:02:05|-30.1677|-72.1093|9.8|us|NEIC PDE|us|us20008k59|Mww|5.4|us|OFF COAST OF CENTRAL CHILE
10049536|2017-04-13 03:42:52|-31.0039|-71.5530|37.9|us|NEIC PDE|us|us10008h52|Mww|5.4|us|NEAR COAST OF CENTRAL CHILE
10100477|2017-04-24 21:46:24|-32.9309|-71.9844|13.2|us|NEIC PDE|us|us10008kcr|mb|5.4|us|NEAR COAST OF CENTRAL CHILE
10117563|2017-04-28 15:58:34|-33.2348|-72.0328|23.2|us|NEIC PDE|us|us10008lm1|Mww|5.4|us|OFF COAST OF CENTRAL CHILE
10950802|2018-09-22 13:13:58|-25.8955|-71.0310|29.0|us|NEIC PDE|us|us2000hin5|Mww|5.4|us|OFF COAST OF NORTHERN CHILE
10950985|2018-09-23 05:32:11|-24.3503|-70.0323|59.3|us|NEIC PDE|us|us2000hivv|Mww|5.4|us|NEAR COAST OF NORTHERN CHILE
10977536|2018-12-01 23:55:24|-33.9153|-72.4004|10.0|us|NEIC PDE|us|us1000i02j|Mww|5.4|us|OFF COAST OF CENTRAL CHILE
11019536|2019-03-28 15:05:31|-24.5980|-70.1015|45.5|us|NEIC PDE|us|us2000k6jm|Mww|5.4|us|NEAR COAST OF NORTHERN CHILE
11090368|2019-08-02 00:55:16|-34.1794|-72.1980|14.0|us|NEIC PDE|us|us60004z17|Mww|5.4|us|NEAR COAST OF CENTRAL CHILE
11122742|2019-09-26 20:31:28|-29.8648|-71.3217|25.1|us|NEIC PDE|us|us70005lzd|Mww|5.4|us|NEAR COAST OF CENTRAL CHILE
11153228|2019-12-03 07:29:30|-20.9328|-70.7718|10.0|us|NEIC PDE|us|us70006fh0|Mww|5.4|us|NEAR COAST OF NORTHERN CHILE
4489256|2014-03-23 20:23:04|-19.8505|-70.8333|23.1|ISC|ISC|ISC|604187251|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4489283|2014-03-24 11:32:15|-19.7800|-70.7913|23.5|ISC|ISC|ISC|604187976|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4489326|2014-03-25 00:15:14|-19.7520|-70.8051|25.2|ISC|ISC|ISC|604361304|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4601195|2014-04-02 00:14:21|-19.9073|-71.0175|10.0|ISC|ISC|ISC|606913305|mb|5.3|NEIC|OFF COAST OF NORTHERN CHILE
4597404|2014-04-02 19:45:49|-20.4233|-70.5701|17.0|ISC|ISC|ISC|609948307|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4597473|2014-04-03 15:08:07|-20.5131|-70.9012|8.1|ISC|ISC|ISC|604401108|mb|5.3|NEIC|NEAR COAST OF NORTHERN CHILE
4597593|2014-04-05 05:44:57|-20.1483|-70.5042|38.8|ISC|ISC|ISC|604440652|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4597666|2014-04-06 14:06:09|-20.4285|-70.9588|19.7|ISC|ISC|ISC|604441572|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4603165|2014-04-10 13:35:07|-26.8485|-71.4927|15.0|ISC|ISC|ISC|606913936|mb|5.3|NEIC|OFF COAST OF NORTHERN CHILE
4598652|2014-04-14 05:56:20|-20.7282|-70.6712|29.5|ISC|ISC|ISC|609948647|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4598798|2014-04-15 16:09:35|-20.1691|-70.7666|19.6|ISC|ISC|ISC|609948678|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4599652|2014-04-21 13:39:04|-19.7057|-70.9495|9.5|ISC|ISC|ISC|604466094|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4638650|2014-05-14 05:51:50|-19.6859|-70.9573|27.1|ISC|ISC|ISC|610145713|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
