Start,End
2017-12-11 04:25:11.009403,2017-12-11 04:26:11.009403
2017-12-11 04:26:11.009403,2017-12-11 04:27:11.009403
2017-12-11 04:27:11.009403,2017-12-11 04:28:11.009403
2017-12-11 04:28:11.009403,2017-12-11 04:29:11.009403
2017-12-11 04:29:11.009403,2017-12-11 04:30:11.009403
2017-12-11 04:30:11.009403,2017-12-11 04:31:11.009403
2017-12-11 04:31:11.009403,2017-12-11 04:32:11.009403
2017-12-11 04:32:11.009403,2017-12-11 04:33:11.009403
2017-12-11 04:33:11.009403,2017-12-11 04:34:11.009403
2017-12-11 04:34:11.009403,2017-12-11 04:35:11.009403
2017-12-11 04:35:11.009403,2017-12-11 04:36:11.009403
2017-12-11 04:36:11.009403,2017-12-11 04:37:11.009403
2017-12-11 04:37:11.009403,2017-12-11 04:38:11.009403
2017-12-11 04:38:11.009403,2017-12-11 04:39:11.009403
2017-12-11 04:39:11.009403,2017-12-11 04:40:11.009403
2017-12-11 04:40:11.009403,2017-12-11 04:41:11.009403
2017-12-11 04:41:11.009403,2017-12-11 04:42:11.009403
2017-12-11 04:42:11.009403,2017-12-11 04:43:11.009403
2017-12-11 04:43:11.009403,2017-12-11 04:44:11.009403
2017-12-11 04:44:11.009403,2017-12-11 04:45:11.009403
2017-12-11 04:45:11.009403,2017-12-11 04:46:11.009403
2017-12-11 04:46:11.009403,2017-12-11 04:47:11.009403
2017-12-11 04:47:11.009403,2017-12-11 04:48:11.009403
2017-12-11 04:48:11.009403,2017-12-11 04:49:11.009403
2017-12-11 04:49:11.009403,2017-12-11 04:50:11.009403
2017-12-11 04:50:11.009403,2017-12-11 04:51:11.009403
2017-12-11 04:51:11.009403,2017-12-11 04:52:11.009403
2017-12-11 04:52:11.009403,2017-12-11 04:53:11.009403
2017-12-11 04:53:11.009403,2017-12-11 04:54:11.009403
2017-12-11 04:54:11.009403,2017-12-11 04:55:11.009403
2017-12-11 04:55:11.009403,2017-12-11 04:56:11.009403
2017-12-11 04:56:11.009403,2017-12-11 04:57:11.009403
2017-12-11 04:57:11.009403,2017-12-11 04:58:11.009403
2017-12-11 04:58:11.009403,2017-12-11 04:59:11.009403
2017-12-11 05:02:04.779689,2017-12-11 05:03:04.779689
2017-12-11 05:03:04.779689,2017-12-11 05:04:04.779689
2017-12-11 05:04:04.779689,2017-12-11 05:05:04.779689
2017-12-11 05:05:04.779689,2017-12-11 05:06:04.779689
2017-12-11 05:06:04.779689,2017-12-11 05:07:04.779689
2017-12-11 05:07:04.779689,2017-12-11 05:08:04.779689
2017-12-11 05:08:04.779689,2017-12-11 05:09:04.779689
2017-12-11 05:09:04.779689,2017-12-11 05:10:04.779689
2017-12-11 05:10:04.779689,2017-12-11 05:11:04.779689
2017-12-11 05:11:04.779689,2017-12-11 05:12:04.779689
2017-12-11 05:12:04.779689,2017-12-11 05:13:04.779689
2017-12-11 05:13:04.779689,2017-12-11 05:14:04.779689
2017-12-11 05:14:04.779689,2017-12-11 05:15:04.779689
2017-12-11 05:15:04.779689,2017-12-11 05:16:04.779689
2017-12-11 05:16:04.779689,2017-12-11 05:17:04.779689
2017-12-11 05:17:04.779689,2017-12-11 05:18:04.779689
2017-12-11 05:18:04.779689,2017-12-11 05:19:04.779689
2017-12-11 05:19:04.779689,2017-12-11 05:20:04.779689
2017-12-11 05:20:04.779689,2017-12-11 05:21:04.779689
2017-12-11 05:21:04.779689,2017-12-11 05:22:04.779689
2017-12-11 05:22:04.779689,2017-12-11 05:23:04.779689
2017-12-11 05:23:04.779689,2017-12-11 05:24:04.779689
2017-12-11 05:24:04.779689,2017-12-11 05:25:04.779689
2017-12-11 05:25:04.779689,2017-12-11 05:26:04.779689
2017-12-11 05:26:04.779689,2017-12-11 05:27:04.779689
2017-12-11 05:27:04.779689,2017-12-11 05:28:04.779689
2017-12-11 05:28:04.779689,2017-12-11 05:29:04.779689
2017-12-11 05:29:04.779689,2017-12-11 05:30:04.779689
2017-12-11 05:30:04.779689,2017-12-11 05:31:04.779689
2017-12-11 05:31:04.779689,2017-12-11 05:32:04.779689
2017-12-11 05:32:04.779689,2017-12-11 05:33:04.779689
2017-12-11 05:33:04.779689,2017-12-11 05:34:04.779689
2017-12-11 05:34:04.779689,2017-12-11 05:35:04.779689
2017-12-11 05:35:04.779689,2017-12-11 05:36:04.779689
2017-12-11 05:36:04.779689,2017-12-11 05:37:04.779689
