Start,End
2017-12-11 07:18:32.931501,2017-12-11 07:19:32.931501
2017-12-11 07:19:32.931501,2017-12-11 07:20:32.931501
2017-12-11 07:20:32.931501,2017-12-11 07:21:32.931501
2017-12-11 07:21:32.931501,2017-12-11 07:22:32.931501
2017-12-11 07:22:32.931501,2017-12-11 07:23:32.931501
2017-12-11 07:23:32.931501,2017-12-11 07:24:32.931501
2017-12-11 07:24:32.931501,2017-12-11 07:25:32.931501
2017-12-11 07:25:32.931501,2017-12-11 07:26:32.931501
2017-12-11 07:26:32.931501,2017-12-11 07:27:32.931501
2017-12-11 07:27:32.931501,2017-12-11 07:28:32.931501
2017-12-11 07:28:32.931501,2017-12-11 07:29:32.931501
2017-12-11 07:29:32.931501,2017-12-11 07:30:32.931501
2017-12-11 07:30:32.931501,2017-12-11 07:31:32.931501
2017-12-11 07:31:32.931501,2017-12-11 07:32:32.931501
2017-12-11 07:32:32.931501,2017-12-11 07:33:32.931501
2017-12-11 07:33:32.931501,2017-12-11 07:34:32.931501
2017-12-11 07:34:32.931501,2017-12-11 07:35:32.931501
2017-12-11 07:35:32.931501,2017-12-11 07:36:32.931501
