Start,End
2017-12-11 04:24:44.988491,2017-12-11 04:25:44.988491
2017-12-11 04:25:44.988491,2017-12-11 04:26:44.988491
2017-12-11 04:26:44.988491,2017-12-11 04:27:44.988491
2017-12-11 04:27:44.988491,2017-12-11 04:28:44.988491
2017-12-11 04:28:44.988491,2017-12-11 04:29:44.988491
2017-12-11 04:29:44.988491,2017-12-11 04:30:44.988491
2017-12-11 04:30:44.988491,2017-12-11 04:31:44.988491
2017-12-11 04:31:44.988491,2017-12-11 04:32:44.988491
2017-12-11 04:32:44.988491,2017-12-11 04:33:44.988491
2017-12-11 04:33:44.988491,2017-12-11 04:34:44.988491
2017-12-11 04:34:44.988491,2017-12-11 04:35:44.988491
2017-12-11 04:35:44.988491,2017-12-11 04:36:44.988491
2017-12-11 04:36:44.988491,2017-12-11 04:37:44.988491
2017-12-11 04:37:44.988491,2017-12-11 04:38:44.988491
2017-12-11 04:38:44.988491,2017-12-11 04:39:44.988491
2017-12-11 04:39:44.988491,2017-12-11 04:40:44.988491
2017-12-11 04:40:44.988491,2017-12-11 04:41:44.988491
2017-12-11 04:41:44.988491,2017-12-11 04:42:44.988491
2017-12-11 04:42:44.988491,2017-12-11 04:43:44.988491
2017-12-11 04:43:44.988491,2017-12-11 04:44:44.988491
2017-12-11 04:44:44.988491,2017-12-11 04:45:44.988491
2017-12-11 04:45:44.988491,2017-12-11 04:46:44.988491
2017-12-11 04:46:44.988491,2017-12-11 04:47:44.988491
2017-12-11 04:47:44.988491,2017-12-11 04:48:44.988491
2017-12-11 04:48:44.988491,2017-12-11 04:49:44.988491
2017-12-11 04:49:44.988491,2017-12-11 04:50:44.988491
2017-12-11 04:50:44.988491,2017-12-11 04:51:44.988491
2017-12-11 04:51:44.988491,2017-12-11 04:52:44.988491
2017-12-11 04:52:44.988491,2017-12-11 04:53:44.988491
2017-12-11 04:53:44.988491,2017-12-11 04:54:44.988491
2017-12-11 04:54:44.988491,2017-12-11 04:55:44.988491
2017-12-11 04:55:44.988491,2017-12-11 04:56:44.988491
2017-12-11 04:56:44.988491,2017-12-11 04:57:44.988491
2017-12-11 04:57:44.988491,2017-12-11 04:58:44.988491
2017-12-11 04:58:44.988491,2017-12-11 04:59:44.988491
2017-12-11 05:01:58.956040,2017-12-11 05:02:58.956040
2017-12-11 05:02:58.956040,2017-12-11 05:03:58.956040
2017-12-11 05:03:58.956040,2017-12-11 05:04:58.956040
2017-12-11 05:04:58.956040,2017-12-11 05:05:58.956040
2017-12-11 05:05:58.956040,2017-12-11 05:06:58.956040
2017-12-11 05:06:58.956040,2017-12-11 05:07:58.956040
2017-12-11 05:07:58.956040,2017-12-11 05:08:58.956040
2017-12-11 05:08:58.956040,2017-12-11 05:09:58.956040
2017-12-11 05:09:58.956040,2017-12-11 05:10:58.956040
2017-12-11 05:10:58.956040,2017-12-11 05:11:58.956040
2017-12-11 05:11:58.956040,2017-12-11 05:12:58.956040
2017-12-11 05:12:58.956040,2017-12-11 05:13:58.956040
2017-12-11 05:13:58.956040,2017-12-11 05:14:58.956040
2017-12-11 05:14:58.956040,2017-12-11 05:15:58.956040
2017-12-11 05:15:58.956040,2017-12-11 05:16:58.956040
2017-12-11 05:16:58.956040,2017-12-11 05:17:58.956040
2017-12-11 05:17:58.956040,2017-12-11 05:18:58.956040
2017-12-11 05:18:58.956040,2017-12-11 05:19:58.956040
2017-12-11 05:19:58.956040,2017-12-11 05:20:58.956040
2017-12-11 05:20:58.956040,2017-12-11 05:21:58.956040
2017-12-11 05:21:58.956040,2017-12-11 05:22:58.956040
2017-12-11 05:22:58.956040,2017-12-11 05:23:58.956040
2017-12-11 05:23:58.956040,2017-12-11 05:24:58.956040
2017-12-11 05:24:58.956040,2017-12-11 05:25:58.956040
2017-12-11 05:25:58.956040,2017-12-11 05:26:58.956040
2017-12-11 05:26:58.956040,2017-12-11 05:27:58.956040
2017-12-11 05:27:58.956040,2017-12-11 05:28:58.956040
2017-12-11 05:28:58.956040,2017-12-11 05:29:58.956040
2017-12-11 05:29:58.956040,2017-12-11 05:30:58.956040
2017-12-11 05:30:58.956040,2017-12-11 05:31:58.956040
2017-12-11 05:31:58.956040,2017-12-11 05:32:58.956040
2017-12-11 05:32:58.956040,2017-12-11 05:33:58.956040
